	clust1	clust2	clust3	id
cell_0	1.0	0.0	0.0	Donor_11
cell_1	1.0	0.0	0.0	Donor_30
cell_2	1.0	0.0	0.0	Donor_12
cell_3	1.0	0.0	0.0	Donor_84
cell_4	1.0	0.0	0.0	Donor_19
cell_5	1.0	0.0	0.0	Donor_18
cell_6	1.0	0.0	0.0	Donor_10
cell_7	1.0	0.0	0.0	Donor_5
cell_8	1.0	0.0	0.0	Donor_17
cell_9	1.0	0.0	0.0	Donor_10
cell_10	1.0	0.0	0.0	Donor_39
cell_11	1.0	0.0	0.0	Donor_29
cell_12	1.0	0.0	0.0	Donor_10
cell_13	1.0	0.0	0.0	Donor_10
cell_14	1.0	0.0	0.0	Donor_29
cell_15	1.0	0.0	0.0	Donor_85
cell_16	1.0	0.0	0.0	Donor_53
cell_17	1.0	0.0	0.0	Donor_3
cell_18	1.0	0.0	0.0	Donor_13
cell_19	1.0	0.0	0.0	Donor_17
cell_20	1.0	0.0	0.0	Donor_14
cell_21	1.0	0.0	0.0	Donor_96
cell_22	1.0	0.0	0.0	Donor_71
cell_23	1.0	0.0	0.0	Donor_12
cell_24	1.0	0.0	0.0	Donor_26
cell_25	1.0	0.0	0.0	Donor_91
cell_26	1.0	0.0	0.0	Donor_18
cell_27	1.0	0.0	0.0	Donor_50
cell_28	1.0	0.0	0.0	Donor_0
cell_29	1.0	0.0	0.0	Donor_37
cell_30	1.0	0.0	0.0	Donor_84
cell_31	1.0	0.0	0.0	Donor_95
cell_32	1.0	0.0	0.0	Donor_14
cell_33	1.0	0.0	0.0	Donor_69
cell_34	1.0	0.0	0.0	Donor_84
cell_35	1.0	0.0	0.0	Donor_11
cell_36	1.0	0.0	0.0	Donor_11
cell_37	1.0	0.0	0.0	Donor_17
cell_38	1.0	0.0	0.0	Donor_18
cell_39	1.0	0.0	0.0	Donor_15
cell_40	1.0	0.0	0.0	Donor_48
cell_41	1.0	0.0	0.0	Donor_20
cell_42	1.0	0.0	0.0	Donor_55
cell_43	1.0	0.0	0.0	Donor_10
cell_44	1.0	0.0	0.0	Donor_17
cell_45	1.0	0.0	0.0	Donor_40
cell_46	1.0	0.0	0.0	Donor_1
cell_47	1.0	0.0	0.0	Donor_12
cell_48	1.0	0.0	0.0	Donor_97
cell_49	1.0	0.0	0.0	Donor_90
cell_50	1.0	0.0	0.0	Donor_40
cell_51	1.0	0.0	0.0	Donor_33
cell_52	1.0	0.0	0.0	Donor_94
cell_53	1.0	0.0	0.0	Donor_2
cell_54	1.0	0.0	0.0	Donor_73
cell_55	1.0	0.0	0.0	Donor_56
cell_56	1.0	0.0	0.0	Donor_99
cell_57	1.0	0.0	0.0	Donor_17
cell_58	1.0	0.0	0.0	Donor_13
cell_59	1.0	0.0	0.0	Donor_15
cell_60	1.0	0.0	0.0	Donor_81
cell_61	1.0	0.0	0.0	Donor_18
cell_62	1.0	0.0	0.0	Donor_10
cell_63	1.0	0.0	0.0	Donor_13
cell_64	1.0	0.0	0.0	Donor_13
cell_65	1.0	0.0	0.0	Donor_11
cell_66	1.0	0.0	0.0	Donor_14
cell_67	1.0	0.0	0.0	Donor_15
cell_68	1.0	0.0	0.0	Donor_12
cell_69	1.0	0.0	0.0	Donor_60
cell_70	1.0	0.0	0.0	Donor_4
cell_71	1.0	0.0	0.0	Donor_14
cell_72	1.0	0.0	0.0	Donor_10
cell_73	1.0	0.0	0.0	Donor_5
cell_74	1.0	0.0	0.0	Donor_19
